Model,Sigma,Family,Volume,Shape,Orientation
EII,$\lambda I$,Spherical,Equal,Equal,NA
VII,$\lambda_k I$,Spherical,Variable,Equal,NA
EEI,$\lambda A$,Diagonal,Equal,Equal,Coordinate axes
VEI,$\lambda_kA$,Diagonal,Variable,Equal,Coordinate axes
EVI,$\lambda A_k$,Diagonal,Equal,Variable,Coordinate axes
VVI,$\lambda_k A_k$,Diagonal,Variable,Variable,Coordinate axes
EEE,$\lambda DAD^\top$,Diagonal,Equal,Equal,Equal
EVE,$\lambda DA_kD^\top$,Ellipsoidal,Equal,Variable,Equal
VEE,$\lambda_k DAD^\top$,Ellipsoidal,Variable,Equal,Equal
VVE,$\lambda_k DA_kD^\top$,Ellipsoidal,Variable,Variable,Equal
EEV,$\lambda D_kAD_k^\top$,Ellipsoidal,Equal,Variable,Variable
VEV,$\lambda_k D_kAD_k^\top$,Ellipsoidal,Variable,Equal,Variable
EVV,$\lambda D_kA_kD_k^\top$,Ellipsoidal,Equal,Variable,Variable
VVV,$\lambda_k D_kA_kD_k^\top$,Ellipsoidal,Variable,Variable,Variable